sensor_id,value,updated_ts
sensor.example_grid_power,450.2,1736892000.0
sensor.example_grid_power,420.8,1736895600.0
sensor.example_grid_power,380.5,1736899200.0
sensor.example_grid_power,350.1,1736902800.0
sensor.example_grid_power,340.0,1736906400.0
sensor.example_grid_power,390.6,1736910000.0
sensor.example_grid_power,620.3,1736913600.0
sensor.example_grid_power,850.7,1736917200.0
sensor.example_grid_power,780.4,1736920800.0
sensor.example_grid_power,320.1,1736924400.0
sensor.example_grid_power,-150.5,1736928000.0
sensor.example_grid_power,-580.2,1736931600.0
sensor.example_pv_power,0,1736892000.0
sensor.example_pv_power,0,1736895600.0
sensor.example_pv_power,0,1736899200.0
sensor.example_pv_power,0,1736902800.0
sensor.example_pv_power,0,1736906400.0
sensor.example_pv_power,0,1736910000.0
sensor.example_pv_power,0,1736913600.0
sensor.example_pv_power,85.2,1736917200.0
sensor.example_pv_power,420.6,1736920800.0
sensor.example_pv_power,890.3,1736924400.0
sensor.example_pv_power,1450.8,1736928000.0
sensor.example_pv_power,1820.5,1736931600.0
